# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = test_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 608018223
# output
#   file = output3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y,x.1,x.2,x.3,Z.1.1,Z.2.1,Z.3.1,Z.4.1,Z.1.2,Z.2.2,Z.3.2,Z.4.2,Z.1.3,Z.2.3,Z.3.3,Z.4.3,Z.1.4,Z.2.4,Z.3.4,Z.4.4,Z.1.5,Z.2.5,Z.3.5,Z.4.5,Z.1.6,Z.2.6,Z.3.6,Z.4.6
-14.1162,0.964333,0.582431,3,7,0,28.7391,-1.24381,1.65205,3.88588,1.98266,1.4811,2.20218,2.60632,3.72376,1.98555,0.0529941,2.0985,4.33461,5.13825,0.277185,3.76566,1.54252,-0.797181,10.0223,3.11608,10.3934,-3.21952,3.38361,-2.12358,7.1859,10.5102,-6.80209,2.3175,14.5175
-13.3925,0.98542,0.582431,3,7,0,26.8406,0.729746,0.289762,-0.548499,3.25552,1.83563,1.76185,3.72298,5.00765,-1.15364,4.32929,1.84302,4.59624,-3.30455,1.12349,4.16507,3.76426,3.28334,1.0741,-0.341188,-2.25147,-2.20571,-5.27252,8.10421,4.12275,2.54736,8.21183,2.2764,-7.0835
-10.286,0.987175,0.582431,3,7,0,23.295,-1.08176,0.470215,2.28759,3.03027,0.931056,2.39885,3.33283,5.04073,-0.37382,3.22466,2.04457,2.81922,3.74658,-0.33475,3.28133,3.28802,-6.61716,3.3421,1.66976,6.34186,0.106605,-2.54072,12.7136,2.4314,-7.66193,7.32792,7.45799,13.297
-12.0734,0.860177,0.582431,3,7,0,22.6665,-1.47312,2.48344,1.77013,3.57255,0.843024,3.39819,2.88368,2.85336,0.188942,4.88696,3.30545,3.95731,4.97413,-1.41248,0.626068,8.84451,-1.97963,-2.67196,6.96531,6.01331,-1.15051,2.38349,-0.954306,-2.1671,0.997366,-0.785171,10.8656,5.95563
-9.30046,0.977337,0.582431,3,7,0,21.8517,0.656068,-0.190042,2.25173,4.99391,0.233669,1.2496,3.07507,4.51027,1.45403,0.0938892,1.66066,4.08937,1.73519,2.33283,4.71296,3.76263,3.32555,2.28398,-1.66644,2.86979,3.39927,0.279955,9.98057,13.7262,4.0771,6.04839,-2.20606,1.69763
-13.2507,0.843991,0.582431,3,7,0,22.727,0.882742,0.0443696,2.56289,2.86859,2.30998,0.79001,4.09102,3.54805,2.54367,1.38992,4.03706,5.39785,5.90676,0.359473,4.95819,8.96837,-2.4713,4.05447,3.32512,-0.283134,-0.771589,1.7738,8.96955,12.0158,4.12495,-7.05447,1.8477,-7.11578
-15.6197,0.799741,0.582431,3,7,0,26.905,0.388206,2.66445,2.85672,3.43584,0.855382,1.86763,1.66051,4.55673,-1.71166,3.23102,1.12861,5.49151,-4.05733,-1.27988,4.02448,2.29166,12.5209,-3.12042,3.92006,1.8687,-5.36909,2.17323,-6.22495,1.29077,3.47592,7.89261,6.22888,5.97208
-13.5105,0.903778,0.582431,3,7,0,29.8009,0.969298,-0.200922,1.49718,2.80018,0.703958,1.7108,2.68727,3.95575,0.727911,-1.21542,2.9547,3.23083,7.924,1.47427,4.01932,5.21462,-8.72483,4.28446,-1.28177,-0.11477,3.97601,9.36715,12.9259,7.72045,-0.699788,4.11566,2.12503,3.90823
-14.2641,0.986361,0.582431,3,7,0,22.2517,-0.598655,2.20871,3.20036,3.62138,1.0054,2.18806,3.27031,4.06071,1.32073,5.2371,3.1661,4.72447,-5.60325,3.1616,1.66086,2.42816,11.9161,2.08884,5.60117,9.12677,-1.76998,-5.64032,-6.28076,-0.156283,2.68814,0.208647,4.40382,3.67853
-23.2932,0.445875,0.582431,3,7,0,44.0047,0.0991154,1.86212,3.48642,4.92393,1.2653,2.46069,2.74943,5.05586,-0.796284,5.06364,5.18574,4.35753,-5.36307,7.7815,3.38183,6.14335,12.8551,-5.24124,8.35544,6.10374,0.0708907,-0.348237,-10.3033,-3.62012,4.29375,0.857455,5.22454,-2.23845
-14.7168,0.995727,0.582431,3,7,0,36.8758,0.894525,0.526602,3.05932,3.21326,0.563686,0.133312,0.610096,5.98818,-1.77318,1.74525,0.883939,3.71517,2.64031,1.61337,0.677218,-0.226138,-1.9544,4.00648,-1.91363,7.93187,2.70805,0.902896,8.83317,5.48038,5.64342,-4.19555,-0.238915,10.2405
-17.8494,0.910557,0.582431,3,7,0,30.3615,1.24095,1.02897,4.367,2.67505,2.12266,-0.753498,1.42625,4.58359,1.40658,-0.697865,4.71079,3.08097,-0.880385,2.32396,-1.09694,2.75826,1.53305,1.27667,3.05589,2.11109,6.46693,-3.56439,6.60795,8.21475,-4.1461,4.76478,4.22147,19.4345
-15.9851,1,0.582431,3,7,0,32.2541,1.39542,1.24575,2.33949,4.01812,-1.01333,-0.0132307,1.69399,4.32049,2.91133,0.460077,7.41042,3.44306,0.662872,-2.94148,-2.88798,5.89316,1.93756,3.54161,8.06842,3.26088,-2.21057,-3.92297,3.36857,9.19211,4.37088,-1.61506,3.32491,5.32991
-17.929,0.863432,0.582431,3,7,0,33.2641,-0.0919521,0.354226,1.68997,1.99257,0.798287,1.28629,3.75174,4.04251,2.45447,0.860229,6.70444,3.34083,-0.124557,-1.02426,5.4003,7.51348,2.71406,-2.57964,0.620222,8.99136,0.449758,18.3762,-9.19302,14.5836,2.87016,-2.54843,2.01406,7.66049
-16.9357,0.999308,0.582431,3,7,0,33.1119,-0.441309,-0.020148,0.478314,3.88131,-0.106166,1.10534,3.06712,2.91139,0.218259,-0.0356705,5.15044,3.04999,0.474297,-4.30689,2.05306,-1.51806,3.63313,2.78503,4.24533,2.16274,-3.18922,-5.3165,1.50459,1.45612,-16.606,3.90004,-5.6632,10.1765
-16.571,0.972464,0.582431,3,7,0,27.3605,-0.640448,2.53693,3.5816,2.05094,1.77121,2.47994,4.08857,4.88398,3.18516,2.8583,0.921792,4.20434,-0.659785,6.84636,5.52104,8.00399,1.51873,6.42849,-1.92517,1.09108,6.98955,10.887,8.39712,3.83572,12.5121,-3.68337,9.06607,-3.72099
-17.9993,0.945921,0.582431,3,7,0,29.141,0.792868,-0.406708,0.481204,4.38286,0.444013,1.75549,1.34466,3.12839,-1.37887,0.710692,6.47392,3.45463,2.78557,-1.85698,1.14956,-0.368753,-0.160599,-1.5314,8.03908,6.48787,-7.2269,-7.55391,0.234514,4.06332,-7.30777,5.77547,-4.65007,13.3582
-20.9123,0.741258,0.582431,3,7,0,40.4972,1.80628,0.844295,0.78848,4.68925,0.0259084,1.8955,1.43482,3.21704,-3.27863,2.12857,5.14372,4.30193,5.05577,-0.218322,1.98915,2.45224,-3.01276,-6.34502,10.2395,1.49642,-3.1896,-8.94025,3.52117,4.76325,-6.55858,13.8333,-3.24788,8.5541
-19.6083,1,0.582431,3,7,0,31.084,-1.24177,1.16214,2.61748,1.00162,2.15402,2.10182,4.50762,5.50097,5.18901,1.82545,0.949899,3.68158,-3.15189,3.03332,4.8797,6.76463,5.57438,11.2137,-2.11299,5.7492,4.18983,9.27313,2.90909,2.95509,8.59086,-10.549,8.88539,-1.07795
-15.1097,1,0.582431,3,7,0,31.6331,1.285,0.331391,3.917,3.27579,0.80999,1.5426,1.72583,3.71669,-0.971127,0.0450937,4.22832,4.37696,6.2684,2.17908,2.97498,1.99987,-0.153388,-1.63113,11.6584,0.608654,-1.75242,-7.7351,7.67222,6.24247,-6.08779,13.1924,2.02217,1.54095
-8.66945,0.990531,0.582431,3,7,0,22.4686,-0.752014,1.00328,1.88567,3.40634,1.25132,2.7131,3.02491,4.15597,1.86243,4.79521,5.10663,3.21082,-2.9122,-0.102225,2.06456,4.66471,-1.48243,1.75657,-4.48401,9.53277,1.06674,5.93916,1.34065,5.65295,9.68344,-5.33047,3.91803,3.69412
-22.3439,0.655268,0.582431,3,7,0,29.6929,-2.58119,0.513417,1.06032,3.77872,1.79829,2.65171,3.33452,2.80382,-0.0183066,2.7679,-0.107711,6.98262,0.569139,9.06067,1.23279,6.2474,2.14662,8.45915,12.9754,-2.55964,9.57328,0.822316,-2.08484,4.60252,-4.58522,15.2154,-1.32353,7.29485
-21.0548,1,0.582431,3,7,0,37.8789,2.15801,1.76531,2.83877,1.85621,0.090727,1.0304,3.54496,4.58865,3.01258,1.92011,2.0365,-1.17269,0.542132,-1.01214,9.45675,2.70036,2.73006,-6.04497,-5.86255,12.8431,4.63802,7.86601,9.28993,1.43434,6.56474,2.44765,3.6454,4.10258
-12.914,1,0.582431,3,7,0,31.119,-0.287289,1.88111,0.825838,2.1625,0.0987785,1.56136,1.63455,3.18327,2.18097,2.18426,0.768472,4.22791,0.0504621,4.9245,5.15792,6.06659,2.83907,5.09506,15.8215,2.34548,4.05485,-3.75101,3.61992,4.10721,-3.12849,7.72405,-3.95356,3.81555
-13.9984,0.987901,0.582431,3,7,0,24.0314,-0.330315,1.54406,0.264073,3.50305,-0.392336,1.51886,1.22184,3.54677,1.60922,3.40129,0.103419,3.0482,0.484882,4.14933,3.26199,2.97869,1.74784,1.52083,14.5686,0.742207,5.06892,-3.11691,4.04656,3.27745,-1.41802,7.40249,-7.42717,0.35536
-17.449,0.887488,0.582431,3,7,0,28.4622,-0.104676,0.0272522,3.50476,2.34615,2.91874,1.68069,3.55432,3.372,1.33429,2.45749,5.952,5.47989,-0.581555,2.89454,2.37599,4.44822,0.21599,0.589241,-11.6458,3.76141,-10.243,0.922005,3.44716,-0.830932,10.1975,3.245,9.27561,0.105734
-16.2199,0.994006,0.582431,3,7,0,29.8265,1.01814,0.843017,0.216986,3.87711,-0.498754,1.37172,2.24935,3.60105,1.86822,0.526934,-0.5188,6.0828,7.18152,2.42832,8.81137,2.92575,3.0738,2.90282,11.5631,2.93841,6.47382,-0.668382,4.88191,6.53108,-9.62038,2.38512,-2.88966,5.38817
-11.8809,0.952421,0.582431,3,7,0,29.6834,-1.6373,1.77773,2.39873,3.55484,1.58934,1.64765,3.28731,2.98284,3.28008,4.36583,4.31242,0.356635,-1.10004,1.62266,0.697326,6.91593,-2.33919,-0.16198,1.86396,6.86572,-4.95039,3.27247,-2.64941,6.3651,12.9193,-3.53517,-0.329568,0.922878
-14.3599,0.898344,0.582431,3,7,0,24.7472,-2.41587,1.86262,1.93294,2.00001,2.16688,2.54295,4.64074,4.12015,-0.111802,5.40839,5.96644,3.71115,1.07201,3.62883,6.46359,3.40203,4.4233,4.3836,1.82925,3.21613,-8.9338,1.88923,-0.00289839,3.53596,10.4117,-0.949411,6.94567,-2.01971
-15.133,0.913903,0.582431,3,7,0,29.5624,-0.053439,0.0865817,3.23003,2.21138,1.28195,0.97217,4.41708,3.49011,-3.39216,5.1568,-2.17338,5.48971,-1.70836,2.16675,3.38199,2.00091,2.67684,1.06759,1.70455,-1.83467,4.4451,-1.77485,6.38659,1.99542,1.22109,7.03234,-7.69851,2.79151
-9.83808,0.927757,0.582431,3,7,0,24.8769,-1.03375,0.440519,2.38073,2.32918,1.44635,2.45256,4.42038,3.66699,-2.02474,4.42765,-1.81688,5.55683,-0.509231,2.6837,3.32732,2.15198,2.38648,2.32832,-1.81196,2.12269,2.24529,-2.66549,3.31616,6.09381,3.37463,6.27662,-2.01598,2.89992
-7.72331,0.571794,0.582431,3,7,0,32.9895,0.804803,1.25651,1.45614,2.97733,0.49197,1.47427,1.8939,4.27991,4.18304,-0.258613,6.02686,4.72522,2.09881,3.26558,4.84238,5.10081,-1.17291,0.499593,7.53811,5.88213,-1.12374,7.50923,5.73971,4.64285,4.76989,-2.57923,6.49776,-0.544424
-8.48662,0.981972,0.582431,3,7,0,15.0541,0.208736,1.49735,2.97935,2.93949,1.6489,2.28975,4.41678,3.20404,-1.87775,3.46689,2.12417,3.60064,2.44555,-0.640129,-0.61792,6.70725,3.50323,2.68261,-2.62957,-0.174344,4.4006,1.65631,-1.54459,6.71996,-2.70685,0.551278,-2.32768,6.3237
-12.6955,0.824978,0.582431,3,7,0,21.8614,1.1988,0.986587,2.7627,4.23648,1.28814,2.49954,1.8448,3.71744,-3.19571,-1.16209,4.24133,6.96346,-1.22139,1.22498,0.239531,5.21542,2.92238,-1.20263,-1.55505,1.5228,1.06212,2.3218,5.56702,6.37095,6.93638,-0.11819,15.0694,-1.3461
-14.4969,0.873012,0.582431,3,7,0,23.3779,-1.31186,1.15615,1.1575,1.78405,0.785607,1.13871,4.17634,4.25117,5.40083,5.53145,1.20676,2.30915,2.98948,3.43842,7.10176,2.80392,-1.49463,5.31188,8.46529,5.6932,-3.77964,1.29151,-0.412278,2.46072,-3.94005,3.95406,-10.3042,7.46537
-19.3352,0.577353,0.582431,3,7,0,40.7479,1.17844,0.836296,1.86134,3.62747,0.625892,3.45586,1.30916,4.18057,-4.9399,-0.541419,5.53845,5.68804,0.459601,0.162137,-0.892722,6.50092,4.79733,-1.2443,-2.83638,3.99346,6.59247,5.613,6.09158,5.91289,5.79618,0.640111,20.9092,-0.474657
-15.4541,0.993069,0.582431,3,7,0,33.9182,-1.13008,-0.795226,1.32263,3.38893,0.317109,1.88844,2.45736,6.36921,2.15525,0.422244,3.01981,3.27155,0.470713,2.698,6.58414,7.96924,0.766492,1.37889,0.70485,11.4818,1.54533,-7.14763,-7.93131,0.961867,-5.883,5.23343,2.22232,-2.21589
-18.5767,0.708342,0.582431,3,7,0,36.8319,-1.11598,0.737023,2.71031,1.11828,-0.415479,0.914031,4.96778,4.14002,1.6095,4.01854,5.3021,3.34782,-4.45795,-0.0416329,5.15487,3.45133,3.35108,6.17992,-4.67799,1.64071,5.78011,7.15647,-7.92957,7.09879,-0.0949552,8.31758,-8.75077,7.09669
-17.4847,1,0.582431,3,7,0,27.7981,1.16555,1.26717,1.81463,4.62905,2.41341,2.48917,1.11153,4.20055,0.736361,0.13808,0.259684,4.69565,6.11914,4.49956,0.882765,4.59976,-0.691715,-0.241895,12.5618,6.89346,-5.0377,-0.789727,13.7499,0.532632,2.40473,-2.949,13.6867,-0.1162
-16.3568,0.877965,0.582431,3,7,0,34.9971,1.26892,1.00257,0.437812,2.56305,1.36489,1.31689,2.81253,3.50099,1.57047,-2.44578,0.808206,5.50808,3.97591,3.52385,-0.571033,2.19111,-1.73631,4.3936,7.557,12.2136,1.48104,-0.0819347,-4.03254,-3.21194,1.36549,-11.6375,-3.68256,9.30331
-17.6093,0.960605,0.582431,3,7,0,29.529,-0.969274,0.997955,3.27339,3.46849,0.358504,2.66785,3.21658,4.70386,2.89043,7.28628,5.39723,2.46895,-2.15242,0.224305,5.59411,6.69083,3.68199,-1.58558,0.237158,-5.32929,-1.22794,3.68679,10.0813,9.88398,0.68796,15.1888,9.33286,-2.86104
-18.7297,0.966582,0.582431,3,7,0,29.7713,1.9499,1.35892,0.659741,3.31923,1.41573,0.383345,2.77847,3.96394,-2.81043,-0.642382,-0.40265,5.51038,3.87353,3.23234,-1.57627,-0.909198,-0.652158,1.8072,3.89673,12.8632,3.30268,3.73813,-4.37008,8.59772,-3.17124,-10.4548,-0.44371,7.03887
-18.9056,0.920319,0.582431,3,7,0,34.7092,0.73541,0.761724,3.56682,1.75235,0.994212,1.53618,3.294,4.04858,5.15477,2.16525,3.16265,6.08598,2.42465,-2.31691,8.62916,6.43373,9.51443,5.19436,4.05161,-3.93417,7.6303,0.833284,12.8001,9.76649,-11.6371,-1.42456,1.68631,5.19195
-15.9599,0.972765,0.582431,3,7,0,29.7138,-0.92741,0.179663,0.615595,4.04865,1.07223,2.22872,2.74245,3.92248,-3.04493,2.13482,3.34753,2.59053,0.602632,5.70223,-1.60454,0.480561,-6.26986,-0.586955,1.75442,11.8786,-1.06214,3.41508,-4.80233,-3.16174,14.1809,3.35293,3.85371,4.7201
-12.9006,0.994133,0.582431,3,7,0,25.0172,-1.00774,1.18772,0.859669,3.78317,0.642839,1.36964,3.23557,2.22452,-0.665616,1.61413,2.38351,2.18155,3.33039,1.88934,2.53834,2.08084,-6.95818,3.53733,5.51728,7.6371,-0.821934,5.48132,-4.40912,-1.28218,5.78816,5.58414,16.5067,-2.2763
-17.1644,0.827016,0.582431,3,7,0,29.1957,-0.807467,-0.028377,-0.362864,2.27719,2.09861,1.74954,2.56767,3.80812,-0.429859,0.458357,4.15183,1.82648,2.35253,0.460054,-2.17276,0.457289,2.53695,2.92485,-1.64076,2.43803,5.75705,-3.46972,8.68893,9.5867,5.10883,9.45336,-14.2074,-1.95912
-18.295,0.953914,0.582431,3,7,0,30.6228,0.548234,1.64774,3.14044,4.25851,-0.0375743,1.69995,3.21985,4.79957,0.232244,3.00262,-0.567616,5.13156,4.90608,4.11999,4.9463,6.0692,-2.67429,1.03261,10.6758,1.28133,1.406,5.85621,4.16821,1.34657,-2.27473,-7.18996,26.6304,4.04791
-14.0465,0.92851,0.582431,3,7,0,34.5843,-0.46924,1.25603,0.910557,2.56798,2.50138,0.678016,3.78678,5.35531,0.367386,2.21641,6.40838,4.20441,-1.83246,5.32484,0.776962,1.53937,4.06678,3.16919,3.24417,4.871,2.63719,4.29439,1.36738,1.53609,-0.352088,7.94148,-15.3608,12.0958
-16.5954,0.869609,0.582431,3,7,0,26.3603,0.554968,0.594414,3.23334,3.11299,-0.192275,3.52155,2.2401,2.62842,2.18924,2.25181,-0.743609,2.87699,3.84992,-1.65049,6.77893,5.60761,-3.70629,0.594126,3.56462,3.85508,1.28539,-0.207561,4.66704,6.05406,-0.477971,-2.15431,22.7282,-6.70862
-13.5497,0.997739,0.582431,3,7,0,28.1584,-0.189202,1.2839,3.56496,2.68982,1.36981,1.75725,1.34668,5.8325,0.690326,4.30744,3.907,4.3265,0.476827,2.71541,7.70792,2.83798,3.39362,7.07296,4.22756,1.11894,-6.48222,6.12799,-6.74451,6.18006,4.39843,-3.27895,-7.79207,2.73978
-13.7854,0.954022,0.582431,3,7,0,26.3993,-0.123154,0.236732,0.42857,3.738,0.490745,2.11448,4.88039,2.11724,1.09539,0.0820601,1.43703,3.91008,1.75481,-0.215727,-1.34076,5.24341,-2.34517,-2.56409,2.27464,6.66247,5.51361,-2.32293,12.059,4.87008,3.8211,5.68506,15.3297,4.91841
-12.9134,0.827844,0.582431,3,7,0,30.1167,0.463913,1.71021,3.33201,1.95796,1.21882,2.03735,1.15121,5.89415,1.01125,3.13939,4.56111,4.84451,0.764025,4.71245,7.32676,2.07139,5.54052,5.91769,2.58663,1.05541,-6.42359,5.99278,-2.79329,8.27577,0.407944,1.32224,-7.24275,2.01148
-14.7487,0.844152,0.582431,3,7,0,27.8297,-0.120701,1.36173,3.31651,3.66551,0.497281,3.04867,2.82752,4.25897,5.07993,3.35659,1.75797,3.00753,1.97259,-1.88366,5.45318,1.98302,12.115,8.8413,4.93608,6.71528,3.85055,8.61361,-3.67464,2.28754,-0.648931,7.19534,-0.316112,-2.36419
-10.083,0.989767,0.582431,3,7,0,22.3668,0.591998,1.2114,0.739665,2.31407,0.235743,1.71626,2.95786,3.43558,-1.89029,2.46782,3.60709,5.53546,1.29481,3.12501,1.19482,5.12217,-7.41556,-3.27612,3.3792,5.34529,-3.21433,2.57818,15.3408,5.31463,0.650707,3.35676,2.22267,3.55213
-8.291,0.801746,0.582431,3,7,0,23.0854,0.99444,1.39775,2.88943,1.54611,1.26452,2.79854,3.67931,4.05531,2.7867,2.35482,2.32591,1.79067,-3.20823,4.3151,2.54361,-0.402164,4.25741,3.63775,-0.351658,4.38079,-0.0587586,0.673926,-2.10862,9.59839,1.60265,-0.928973,5.78176,5.15014
-8.80882,0.936432,0.582431,3,7,0,16.4196,-0.815474,0.44088,1.04509,4.62227,0.327195,1.27869,2.36838,3.93177,-1.07138,1.58946,3.30845,4.90723,5.4224,-1.17464,3.47979,8.53365,-1.90656,0.193422,5.21085,3.61175,0.897506,3.69277,6.45681,-2.52109,2.36582,6.2195,1.24711,-1.36876
-11.7341,0.682682,0.582431,3,7,0,24.6462,1.1919,1.43349,2.44368,2.70271,0.831068,1.8119,4.41061,3.44805,1.12693,3.8662,7.25637,4.23256,1.62197,3.86289,0.0275265,1.54947,-2.06475,3.58333,1.80123,-2.02322,4.95012,0.549628,-4.8746,11.2584,-4.43426,-4.72413,8.17594,8.25843
-10.7525,0.875613,0.582431,3,7,0,24.2769,-1.32551,0.120054,1.62466,3.66587,0.885944,2.1174,1.93783,4.51292,0.341902,0.418957,-0.261621,3.2243,1.24621,-0.910249,6.35853,7.10835,2.4838,0.14007,4.49158,9.39343,0.491068,4.33466,9.71249,-1.11041,7.71106,7.49749,-3.99428,-2.88765
-13.6026,0.812838,0.582431,3,7,0,26.6132,1.37178,-1.00943,2.98149,3.87694,1.47058,1.89047,4.68474,4.36017,3.08007,2.43901,4.73811,3.55093,-2.17248,5.09776,2.2848,1.08612,4.89303,2.97347,10.401,-1.03224,2.89038,1.28208,-1.19458,7.74698,-4.30026,1.86491,9.64996,12.0064
-12.2032,1,0.582431,3,7,0,22.1077,0.983314,-1.09189,2.18116,3.797,1.79078,2.35694,4.104,4.50187,3.89034,3.89592,5.42187,2.55834,-1.3651,7.6052,1.05179,2.16116,3.64777,3.236,6.63504,-1.64862,1.12633,4.11014,-2.97625,5.27217,-1.29087,2.93718,7.52802,8.34156
